pyramid,dE,dN,dH
1,-0.026,0.018,-0.018
2,0.003,-0.037,0.021
3,0.007,0.003,-0.008
4,0.027,-0.011,0.004
5,-0.013,-0.064,0.021
6,0.005,0.021,-0.013
7,-0.008,0.027,-0.012
8,0.008,0.02,-0.011
9,-0.023,-0.017,0.013
10,-0.009,0.035,-0.004
12,-0.015,0.009,0.007
13,-0.035,0.027,0.015
14,-0.007,0.017,0.011
15,0.054,0.044,0.021
16,0.016,-0.031,0.035
18,0.016,-0.02,0.022
19,0.019,-0.035,0.042
20,-0.027,0.003,0.009
21,0.009,-0.014,0.009
22,0.031,-0.017,0.019
23,0.023,-0.026,0.023
24,-0.017,-0.052,0.035
25,0.009,-0.015,0.021
