pyramid,dE,dN,dH
1,-0.021,0.025,-0.018
2,0.008,-0.037,0.021
3,0.009,0.005,-0.008
4,0.023,-0.013,0.004
5,-0.017,-0.069,0.021
6,0.000,0.017,-0.013
7,-0.010,0.026,-0.012
8,0.006,0.018,-0.011
9,-0.024,-0.021,0.013
10,-0.007,0.022,-0.004
12,-0.012,-0.009,0.007
13,-0.032,0.018,0.015
14,-0.010,0.019,0.011
15,0.053,0.048,0.021
16,0.010,-0.024,0.035
17,0.018,-0.002,0.037
18,0.019,-0.012,0.022
19,0.023,-0.030,0.042
20,-0.018,0.000,0.009
21,0.007,0.001,0.009
22,0.031,-0.017,0.019
23,-0.002,-0.017,0.023
24,-0.029,-0.045,0.035
25,0.013,-0.017,0.021
